Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
OBN_19.R	OBN_19.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3482456.0	525.8 Mbp	0.0	151.0	45.0	10.450271309192287	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_19.R1	OBN_19.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3451809.0	501.7 Mbp	0.0	31-146	41.0	6.09270254994413	145.36639657640384	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBN_19.R2	OBN_19.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3451809.0	518 Mbp	0.0	29-151	45.0	9.81756177702523	150.10742280352127	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBN_2.F	OBN_2.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3628679.0	529.7 Mbp	0.0	146.0	42.0	6.7599859126954165	146.0	146	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_2.R	OBN_2.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3628679.0	547.9 Mbp	0.0	151.0	46.0	11.94099803727411	151.0	151	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBN_2.R1	OBN_2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3595316.0	520.7 Mbp	0.0	31-146	42.0	6.627274382459731	144.8413727750217	146	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBN_2.R2	OBN_2.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3595316.0	537.3 Mbp	0.0	29-151	46.0	11.23984667433536	149.50198647351164	151	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBN_21.F	OBN_21.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7699037.0	1.1 Gbp	0.0	146.0	41.0	5.006368076951462	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBN_21.R	OBN_21.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7699037.0	1.1 Gbp	0.0	151.0	45.0	10.105527390412764	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_21.R1	OBN_21.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7631651.0	1.1 Gbp	0.0	31-146	41.0	4.8009379494993345	145.4390261032639	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBN_21.R2	OBN_21.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7631651.0	1.1 Gbp	0.0	15-151	45.0	9.460600004630773	150.11746291857423	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBN_22.F	OBN_22.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2896012.0	422.8 Mbp	0.0	146.0	42.0	6.941637558452538	146.0	146	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass
OBN_22.R	OBN_22.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2896012.0	437.2 Mbp	0.0	151.0	46.0	12.686777238421518	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_22.R1	OBN_22.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2868058.0	415.3 Mbp	0.0	31-146	42.0	6.650423914610096	144.81792418423896	146	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
OBN_22.R2	OBN_22.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2868058.0	428.5 Mbp	0.0	31-151	46.0	11.996437912437054	149.44185717304183	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBN_24.F	OBN_24.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2915416.0	425.6 Mbp	0.0	146.0	41.0	7.186501987640657	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBN_24.R	OBN_24.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2915416.0	440.2 Mbp	0.0	151.0	45.0	12.084792949089595	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_24.R1	OBN_24.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2889166.0	419.4 Mbp	0.0	31-146	41.0	7.004725043524123	145.19334576137197	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBN_24.R2	OBN_24.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2889166.0	433 Mbp	0.0	31-151	45.0	11.372229890778714	149.8988102448942	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBN_25.F	OBN_25.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6060043.0	884.7 Mbp	0.0	146.0	42.0	5.761290313500158	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBN_25.R	OBN_25.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6060043.0	915 Mbp	0.0	151.0	46.0	10.41078139714954	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_25.R1	OBN_25.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6005760.0	872.5 Mbp	0.0	31-146	42.0	5.5423975473921345	145.2924191109868	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBN_25.R2	OBN_25.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6005760.0	900.6 Mbp	0.0	31-151	46.0	9.684653074608725	149.98623404864662	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBN_26.F	OBN_26.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2531659.0	369.6 Mbp	0.0	146.0	42.0	11.299718435753539	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBN_26.R	OBN_26.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2531659.0	382.2 Mbp	0.0	151.0	46.0	19.39223538179049	151.0	151	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBN_26.R1	OBN_26.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2511350.0	365 Mbp	0.0	31-146	42.0	11.13097328217687	145.36709419236666	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBN_26.R2	OBN_26.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2511350.0	376.8 Mbp	0.0	31-151	46.0	18.827750178080848	150.074679355725	151	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBN_27.F	OBN_27.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3480872.0	508.2 Mbp	0.0	146.0	42.0	10.209308780674785	146.0	146	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_27.R	OBN_27.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3480872.0	525.6 Mbp	0.0	151.0	46.0	15.704785619661067	151.0	151	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBN_27.R1	OBN_27.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3449092.0	499.3 Mbp	0.0	31-146	42.0	9.941013492164975	144.79682913647997	146	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBN_27.R2	OBN_27.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3449092.0	515 Mbp	0.0	31-151	46.0	14.921435659723478	149.36995939800968	151	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBN_28.F	OBN_28.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3104332.0	453.2 Mbp	0.0	146.0	42.0	6.853087526194749	146.0	146	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass
OBN_28.R	OBN_28.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3104332.0	468.7 Mbp	0.0	151.0	46.0	12.344398340983401	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_28.R1	OBN_28.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3074709.0	445.7 Mbp	0.0	31-146	41.0	6.589494171634022	144.97873847573868	146	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
OBN_28.R2	OBN_28.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3074709.0	459.9 Mbp	0.0	31-151	46.0	11.632052144046519	149.62109975285466	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBN_29.F	OBN_29.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	852485.0	124.4 Mbp	0.0	146.0	41.0	15.736887979288456	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBN_29.R	OBN_29.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	852485.0	128.7 Mbp	0.0	151.0	45.0	22.406720814946095	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_29.R1	OBN_29.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	842203.0	121.7 Mbp	0.0	31-146	41.0	15.395844261981267	144.60599166709213	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBN_29.R2	OBN_29.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	842203.0	125.6 Mbp	0.0	31-151	45.0	21.570950367431028	149.21868124430807	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBN_3.F	OBN_3.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2399369.0	350.3 Mbp	0.0	146.0	42.0	7.0776410892250325	146.0	146	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_3.R	OBN_3.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2399369.0	362.3 Mbp	0.0	151.0	46.0	12.723863905329456	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_3.R1	OBN_3.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2378878.0	344.4 Mbp	0.0	31-146	42.0	6.802420621070195	144.80376337079917	146	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBN_3.R2	OBN_3.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2378878.0	355.3 Mbp	0.0	31-151	46.0	12.034388614975066	149.42043475957993	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBN_4.F	OBN_4.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2697378.0	393.8 Mbp	0.0	146.0	42.0	6.660959313754171	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBN_4.R	OBN_4.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2697378.0	407.3 Mbp	0.0	151.0	46.0	11.558876247622205	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_4.R1	OBN_4.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2673352.0	388.2 Mbp	0.0	31-146	42.0	6.436063531059006	145.235431398484	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBN_4.R2	OBN_4.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2673352.0	400.7 Mbp	0.0	26-151	46.0	10.853600175927626	149.92217523169415	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBN_6.F	OBN_6.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3091721.0	451.3 Mbp	0.0	146.0	41.0	6.821034109791402	146.0	146	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_6.R	OBN_6.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3091721.0	466.8 Mbp	0.0	151.0	46.0	12.073964980054782	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_6.R1	OBN_6.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3061779.0	444.2 Mbp	0.0	30-146	41.0	6.541608432211852	145.10177579766534	146	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBN_6.R2	OBN_6.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3061779.0	458.3 Mbp	0.0	31-151	46.0	11.498690426502604	149.73227264280015	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBN_9b.F	OBN_9b.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3318198.0	484.4 Mbp	0.0	146.0	41.0	5.123707807292246	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBN_9b.R	OBN_9b.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3318198.0	501 Mbp	0.0	151.0	45.0	10.665525201598149	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_9b.R1	OBN_9b.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3291813.0	478.6 Mbp	0.0	31-146	41.0	4.9258782565636965	145.4164270570655	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBN_9b.R2	OBN_9b.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3291813.0	494 Mbp	0.0	31-151	45.0	10.047053638786476	150.12471364564146	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBN_9c.F	OBN_9c.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4165195.0	608.1 Mbp	0.0	146.0	42.0	4.8540070226098395	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBN_9c.R	OBN_9c.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4165195.0	628.9 Mbp	0.0	151.0	46.0	10.163707173368241	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_9c.R1	OBN_9c.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4126063.0	599.8 Mbp	0.0	31-146	42.0	4.63417142627736	145.3836967588716	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBN_9c.R2	OBN_9c.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4126063.0	619.2 Mbp	0.0	18-151	46.0	9.44081519087581	150.1056976105309	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBN_9d.F	OBN_9d.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4116416.0	600.9 Mbp	0.0	146.0	41.0	4.952050204720087	146.0	146	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_9d.R	OBN_9d.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4116416.0	621.5 Mbp	0.0	151.0	46.0	10.071702245010613	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBN_9d.R1	OBN_9d.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4076534.0	592.6 Mbp	0.0	31-146	41.0	4.683147952314213	145.39005905506983	146	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBN_9d.R2	OBN_9d.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4076534.0	611.6 Mbp	0.0	31-151	46.0	9.312819181854994	150.06157461215827	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBS_232.F	OBS_232.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2478237.0	361.8 Mbp	0.0	146.0	41.0	8.268792961045571	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBS_232.R	OBS_232.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2478237.0	374.2 Mbp	0.0	151.0	46.0	13.090384477175125	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBS_232.R1	OBS_232.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2456861.0	356.6 Mbp	0.0	31-146	41.0	8.044878623548229	145.17384581382504	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBS_232.R2	OBS_232.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2456861.0	368.2 Mbp	0.0	26-151	46.0	12.350858061703894	149.91459549400636	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBS_233.F	OBS_233.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2828786.0	413 Mbp	0.0	146.0	42.0	7.028467405639308	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBS_233.R	OBS_233.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2828786.0	427.1 Mbp	0.0	151.0	46.0	12.474383397555238	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBS_233.R1	OBS_233.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2801806.0	406.5 Mbp	0.0	31-146	42.0	6.8523965140776255	145.12506683189343	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBS_233.R2	OBS_233.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2801806.0	419.5 Mbp	0.0	15-151	46.0	11.72410389400913	149.78078853425254	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBS_235.F	OBS_235.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3309645.0	483.2 Mbp	0.0	146.0	41.0	7.2391899345188735	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBS_235.R	OBS_235.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3309645.0	499.7 Mbp	0.0	151.0	45.0	11.822418929883806	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBS_235.R1	OBS_235.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3279659.0	477.1 Mbp	0.0	31-146	41.0	7.052458951450031	145.49491730695172	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBS_235.R2	OBS_235.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3279659.0	492.4 Mbp	0.0	16-151	45.0	11.159453761213564	150.1685013594401	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBS_236.F	OBS_236.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3426170.0	500.2 Mbp	0.0	146.0	41.0	6.173199450504633	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBS_236.R	OBS_236.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3426170.0	517.3 Mbp	0.0	151.0	45.0	10.807787361818498	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBS_236.R1	OBS_236.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3393999.0	493.5 Mbp	0.0	31-146	41.0	5.951007845451352	145.41977030635542	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBS_236.R2	OBS_236.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3393999.0	509.3 Mbp	0.0	24-151	45.0	10.067291273027115	150.0918680294249	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBS_237.F	OBS_237.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6392295.0	933.2 Mbp	0.0	146.0	41.0	4.766896106865983	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBS_237.R	OBS_237.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6392295.0	965.2 Mbp	0.0	151.0	45.0	10.094886709441132	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBS_237.R1	OBS_237.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6334919.0	921.3 Mbp	0.0	31-146	41.0	4.546325956297634	145.44997576133176	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBS_237.R2	OBS_237.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6334919.0	950.8 Mbp	0.0	15-151	45.0	9.363979197321504	150.12090304548488	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBS_238.F	OBS_238.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4387272.0	640.5 Mbp	0.0	146.0	41.0	6.885697588774198	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBS_238.R	OBS_238.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4387272.0	662.4 Mbp	0.0	151.0	45.0	12.961401337934436	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBS_238.R1	OBS_238.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4351096.0	633.2 Mbp	0.0	31-146	41.0	6.740633828483883	145.5450350900095	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBS_238.R2	OBS_238.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4351096.0	653.7 Mbp	0.0	31-151	45.0	12.25767843615114	150.2792737737802	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBS_239.F	OBS_239.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6556358.0	957.2 Mbp	0.0	146.0	42.0	5.7634693023695585	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBS_239.R	OBS_239.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6556358.0	990 Mbp	0.0	151.0	46.0	10.137504735369333	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBS_239.R1	OBS_239.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6493288.0	943.5 Mbp	0.0	31-146	42.0	5.499023895979857	145.32633497851936	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBS_239.R2	OBS_239.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6493288.0	973.8 Mbp	0.0	22-151	46.0	9.638383635871177	150.01327078053524	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBS_240.F	OBS_240.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2764989.0	403.6 Mbp	0.0	146.0	41.0	7.12460913791475	146.0	146	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBS_240.R	OBS_240.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2764989.0	417.5 Mbp	0.0	151.0	46.0	12.972121910584471	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBS_240.R1	OBS_240.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2739543.0	397.2 Mbp	0.0	31-146	41.0	6.88354061692534	145.0053979806121	146	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBS_240.R2	OBS_240.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2739543.0	409.8 Mbp	0.0	15-151	46.0	12.37710222124077	149.62532838506277	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBS_241.F	OBS_241.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2550318.0	372.3 Mbp	0.0	146.0	42.0	8.131283772868194	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBS_241.R	OBS_241.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2550318.0	385 Mbp	0.0	151.0	46.0	13.05344883075556	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBS_241.R1	OBS_241.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2525071.0	366.4 Mbp	0.0	31-146	42.0	7.898213084228008	145.13633240411855	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBS_241.R2	OBS_241.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2525071.0	378.2 Mbp	0.0	31-151	46.0	12.275726394906753	149.82353446695163	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBS_242.F	OBS_242.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3104870.0	453.3 Mbp	0.0	146.0	41.0	7.2925235203806285	146.0	146	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBS_242.R	OBS_242.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3104870.0	468.8 Mbp	0.0	151.0	46.0	12.492699769986698	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBS_242.R1	OBS_242.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3072736.0	446.1 Mbp	0.0	31-146	41.0	6.980150995786079	145.2077265993564	146	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBS_242.R2	OBS_242.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3072736.0	460.3 Mbp	0.0	16-151	46.0	11.725901796500708	149.8598408714579	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBS_243.F	OBS_243.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3105358.0	453.3 Mbp	0.0	146.0	42.0	7.46603705331306	146.0	146	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBS_243.R	OBS_243.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3105358.0	468.9 Mbp	0.0	151.0	46.0	13.288972035843685	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBS_243.R1	OBS_243.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3077043.0	445.4 Mbp	0.0	31-146	42.0	7.133283963807802	144.77747629786128	146	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBS_243.R2	OBS_243.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3077043.0	459.5 Mbp	0.0	31-151	46.0	12.694726167239406	149.36982323613938	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBS_244.F	OBS_244.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1606639.0	234.5 Mbp	0.0	146.0	41.0	9.593261901027716	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBS_244.R	OBS_244.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1606639.0	242.6 Mbp	0.0	151.0	46.0	14.735860266613113	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBS_244.R1	OBS_244.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1594298.0	231.6 Mbp	0.0	31-146	41.0	9.421312874464348	145.32789353056955	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBS_244.R2	OBS_244.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1594298.0	239.1 Mbp	0.0	31-151	46.0	14.291454665800815	150.00952707712108	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBS_245a.F	OBS_245a.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2898490.0	423.1 Mbp	0.0	146.0	41.0	8.602398460244615	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBS_245a.R	OBS_245a.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2898490.0	437.6 Mbp	0.0	151.0	46.0	14.316820629051358	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
OBS_245a.R1	OBS_245a.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2878602.0	418.7 Mbp	0.0	31-146	41.0	8.458242768703052	145.46742099116167	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
OBS_245a.R2	OBS_245a.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2878602.0	432.2 Mbp	0.0	21-151	46.0	13.910137014465313	150.19892850765754	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
OBS_245b.F	OBS_245b.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5096252.0	744 Mbp	0.0	146.0	41.0	7.065942191614222	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
OBS_245b.R	OBS_245b.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5096252.0	769.5 Mbp	0.0	151.0	45.0	12.9244449123367	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
